id,title,genres,overview,release_date,poster_path,vote_average
1361451,La terra negra,"['Drama', 'Crime']","Miquel moves to a town in the Spanish countryside. He is there to work in an industrial mill, ran by siblings María and Ángel. María, who dislikes her work and the neighbours she has to do business with, finds in Miquel a person similar to her.",2025-03-17,/3iRxZlTSkXUON99zEq1iZQV2VH2.jpg,0.0
1359893,100 di questi anni,['Drama'], ,2025-03-17,/57v4gE3Dx6TViwIe1BiC2rgghhs.jpg,0.0
1297763,Batman Ninja vs. Yakuza League,"['Animation', 'Action']","The Batman family has returned to the present to discover that Japan has disappeared, and a giant island - Hinomoto - is now in the sky over Gotham City.  At the top sit the Yakuza, a group of superpowered individuals who reign without honor or humanity and look suspiciously like the Justice League. Now, it’s up to Batman and his allies to save Gotham!",2025-03-17,/3onmLeu48mY87UclP3fk2x7YPqw.jpg,0.0
1445505,Kamen Rider Gavv GRADUATIONS Funny School Days,[],"March is the month of graduation ceremonies. Graduation ceremonies are the time for fun school life. So, what if the characters from ""Kamen Rider Gavv"" were living a school life? We've created six short skits based on this theme!",2025-03-16,/2jjz1q5zBKIuC9lcTJOyAefUJf1.jpg,0.0
1445302,Carabao Cup Final 2025,[],"The 2025 Carabao Cup final is the upcoming final match of the 2024–25 EFL Cup. It is to be played between Liverpool and Newcastle United at Wembley Stadium in London, England, on 16 March 2025.",2025-03-16,/idI77qU1yZ8kbUfoHgndsgCJbYg.jpg,0.0
777443,The Electric State,"['Science Fiction', 'Adventure', 'Drama']","An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",2025-03-07,/jRdxyW5ZmhD3ycStlb7gwOewTuE.jpg,6.813
1013601,The Alto Knights,"['Drama', 'Crime']","Two of New York's most notorious organized crime bosses, Frank Costello and Vito Genovese, vie for control of the city's streets. Once the best of friends, petty jealousies and a series of betrayals place them on a deadly collision course that will reshape the Mafia (and America) forever.",2025-03-14,/95KmR0xNuZZ6DNESDwLKWGIBvMg.jpg,7.0
800367,The Actor,"['Drama', 'Mystery', 'Thriller']","Paul Cole finds himself stranded in a mysterious small town with no memory of who he is or how he got here. As bits and pieces of his past slowly emerge, he attempts to find his way home, but time is slippery, appearances can't be trusted, and it's unclear which of his identities is real.",2025-03-14,/jp397HSWa7e7lIkM19rvizHfTbL.jpg,7.5
1418287,Royal-ish,"['TV Movie', 'Comedy', 'Romance']","Lacey is an amusement park princess who befriends 8-year-old Rose, a real-life princess, and is recruited by her handsome father to travel to their kingdom and be the new governess.",2025-03-15,/eviXuwmjoxSRzAz0sdkkvOEjNgh.jpg,7.0
1441567,Warden,"['Science Fiction', 'Thriller']","A docu-style science fiction thriller exploring the real-world impact of a young man discovering his superpowers. It delves into how his presence influences society, attracting followers, sparking conflict, and changing the lives of everyone around him.",2025-03-14,/fn5PCbsOJy25k2p7TJ7pbBSqnoM.jpg,7.5
1291321,Sweet Heart,"['Romance', 'Comedy', 'Drama']","Vasu, a gifted animator with a troubled past, is forced to face his commitment issues when his partner Manu reveals her pregnancy.",2025-03-14,/bHxP4Mdgc6RwFZi7b1JDPXDus8j.jpg,5.3
1419826,The World Will Tremble,"['Drama', 'War']","The incredible, untold true story of how a group of prisoners attempt a seemingly impossible escape from the first Nazi death camp in order to provide the first eyewitness account of the Holocaust.",2025-03-14,/nSVqv6Bx0fDZS55SynC7Kxspw2r.jpg,8.0
1438217,TNA Sacrifice 2025,[],"The 2025 Sacrifice was a professional wrestling event produced by Total Nonstop Action Wrestling. The event took place on March 14, 2025, at the El Paso County Coliseum in El Paso, Texas, and aired on TNA+. It was the 16th event under the Sacrifice chronology. Wrestlers from WWE's NXT brand, with which TNA had a partnership, also appeared at the event.",2025-03-14,/nxRgBBzxc55EQdeg3qXCCJfCCu.jpg,7.0
1422166,The Age of Disclosure,['Documentary'],"Director Dan Farah got 34 senior members of the U.S. Government, military, and intelligence community to come on camera. He says they reveal an 80 year cover-up of the existence of non-human intelligent life and a secret war amongst major nations to reverse engineer technology of non-human origin. The film explores the profound impact the situation has on the future of humanity, while providing a look behind-the-scenes with those at the forefront of the bi-partisan disclosure effort.",2025-03-14,/qsV4QTjO1jLLezzPA8yRm207ymb.jpg,0.0
1422166,The Age of Disclosure,['Documentary'],"Director Dan Farah got 34 senior members of the U.S. Government, military, and intelligence community to come on camera. He says they reveal an 80 year cover-up of the existence of non-human intelligent life and a secret war amongst major nations to reverse engineer technology of non-human origin. The film explores the profound impact the situation has on the future of humanity, while providing a look behind-the-scenes with those at the forefront of the bi-partisan disclosure effort.",2025-03-14,/qsV4QTjO1jLLezzPA8yRm207ymb.jpg,0.0
1306707,I Don't Like It Here,"['Horror', 'Mystery', 'Thriller']","A recently paroled outsider returns to his desolate hometown, only to find a community plagued by a disturbing darkness. As he grapples with his own past and the town’s sinister secrets, he becomes the prime suspect in a series of gruesome murders.",2025-03-29,/71tmxZLDkguFKAFOwlGtitBkkHA.jpg,0.0
1203524,Penguin Girl,"['Drama', 'Romance']","Moon loves penguins. Her lifelong ambition is to study penguins in Antarctica. She believes she’ll meet her destined mate just like penguins do. One day, Moon runs into Adley, a guy in a penguin suit fortuitously making penguin courtship gestures at her. She believes the penguin-scented Adley is her fate. As they spend time together, Adley is moved by Moon's genuineness and passion. Just when their relationship has made some progress, Moon is recommended for an exchange program to the UK, throwing Moon into a dilemma between pursuing love and her dream.",2025-03-14,/9kx1l6rPfju36Auqxj4FrDYJzhg.jpg,6.0
1294376,Meanwhile,['Documentary'],"A groundbreaking, immersive, nonlinear cinematic journey where artists' expressions blend with historical and real-life footage, unveils the profound impact of white supremacy on our human connections. Led by a dynamic team including Jacqueline Woodson, Catherine Gund, Erika Dilday, Meshell Ndegeocello, and M. Trevino, this collaborative masterpiece weaves together diverse visions, poignantly revealing how race, racism, and resistance shape our shared breath, not just in moments of crisis, but in the enduring, pervasive legacy of that risk.",2025-03-14,/6WTtDN2llm2laub4CSXuvAcr3zi.jpg,8.5
1144417,Alakshye Ritwik,[],The biopic will see Silajit portraying Ritwik Ghatak from 35 to 50.,2025-03-14,/n1C9Gb7Pva1Au07C19xRxfKnJI6.jpg,0.0
1306284,Wolfgang (Extraordinari),"['Family', 'Drama']","Wolfgang, a 9-year-old boy with an IQ of 125, is forced to live with his father, Carles, whom he has never seen, after the sudden death of his mother. He has one obsession, to run away to Paris to study at the Grimald Academy and become the best pianist in the world. But what Wolfgang doesn’t know is that the biggest challenge is right in front of him and that is to get along with his father.",2025-03-14,/b0PxbVc7lcLDzoWU8m2E74h8VD7.jpg,0.0
1322218,Mononoke the Movie: The Ashes of Rage,"['Animation', 'Fantasy', 'Mystery', 'Horror']",Second installment of the Mononoke movie trilogy.,2025-03-14,/bT2qcTXVNUbeIMjbggB14Wyymgi.jpg,10.0
1326693,Wujek foliarz,['Comedy'],"Kuba is undergoing mandatory addiction therapy when he is kidnapped by his eccentric uncle – a conspiracy theorist who believes in the imminent end of the world. The uncle and his team of journalists from the ""Prawda TV"" channel want to involve him in their secret plan to prove that the mayoral elections were rigged. Initially skeptical of his uncle's obsession, Kuba discovers that the village is threatened with a real ecological disaster and decides to act. The situation is further complicated by his former love, Gośka. All this forces him to take matters into his own hands and make decisions that he has been running away from so far.",2025-03-14,/m7KL3ufmOQyf8LSgQ87FPNKKw4v.jpg,0.0
